task,dimension,fid,n_seeds,norm_regret_proposed,norm_regret_baseline,wins,losses,ties,cliffs_delta,raw_p_value,adj_p_value
bbob/32/21/2,32,21,30,0.6878835681340828,0.6409695436700135,14,16,0,0.14444444444444438,0.39305018074810505,1.0
bbob/32/22/0,32,22,30,0.7755370258368222,0.6385772812930408,11,19,0,0.2533333333333334,0.023410143330693245,1.0
bbob/32/22/1,32,22,30,0.6510712090465535,0.6409879846461285,16,14,0,0.011111111111111072,0.6408254038542509,1.0
bbob/32/22/2,32,22,30,0.7216721801389313,0.7293576751550822,18,12,0,-0.06444444444444442,0.46454504504799843,1.0
bbob/32/23/0,32,23,30,0.5226230592806326,0.4988587388160201,12,11,7,0.05888888888888899,0.7610139718252409,1.0
bbob/32/23/1,32,23,30,0.5865443133540471,0.6149050630232228,13,10,7,-0.07444444444444442,0.5230089917974712,1.0
bbob/32/23/2,32,23,30,0.630130024528682,0.6068102748769271,10,14,6,0.10666666666666669,0.5296296702875958,1.0
bbob/32/24/0,32,24,30,0.5104007361501636,0.5414426343584289,15,12,3,-0.0855555555555556,0.532200812876446,1.0
bbob/32/24/1,32,24,30,0.49424442895786613,0.5341545180086086,18,12,0,-0.0377777777777778,0.3598779272288084,1.0
bbob/32/24/2,32,24,30,0.48062541425129657,0.5287271874217949,17,13,0,-0.0955555555555555,0.3284698575735092,1.0
bbob/32/3/0,32,3,30,0.4388496594564061,0.39059132318982726,13,17,0,0.2155555555555555,0.3284698575735092,1.0
bbob/32/3/1,32,3,30,0.5393917314764839,0.5043327576604221,10,20,0,0.12222222222222223,0.22064675763249397,1.0
bbob/32/3/2,32,3,30,0.4801163245384959,0.4098468376587902,13,17,0,0.16666666666666674,0.308520769700408,1.0
bbob/32/4/0,32,4,30,0.4752527804966753,0.3920019855967432,11,19,0,0.21999999999999997,0.09194962680339813,1.0
bbob/32/4/1,32,4,30,0.438625509904617,0.4100188072592677,17,13,0,0.10666666666666669,1.0,1.0
bbob/32/4/2,32,4,30,0.4633236675843562,0.3985550679770322,12,18,0,0.14444444444444438,0.23665234446525574,1.0
bbob/32/5/0,32,5,30,0.703476596859955,0.5175808667993437,9,21,0,0.48222222222222233,0.001718590036034584,0.22857247479259968
bbob/32/5/1,32,5,30,0.63599461464463,0.5109634838529252,14,16,0,0.3799999999999999,0.047259049490094185,1.0
bbob/32/5/2,32,5,30,0.5907315871956068,0.39148857039331525,8,22,0,0.5444444444444445,0.00016989745199680328,0.02429533563554287
bbob/32/6/0,32,6,30,0.3902951827681353,0.4145191375566598,16,14,0,-0.10444444444444445,0.6120056137442589,1.0
bbob/32/6/1,32,6,30,0.5900722115926783,0.5238136321835463,13,17,0,0.17333333333333334,0.25343610532581806,1.0
