task,dimension,n_seeds,norm_regret_proposed,norm_regret_baseline,wins,losses,ties,cliffs_delta,raw_p_value,adj_p_value
bbob/32/10/0,32,30,0.37539198434009163,0.3931470248589248,19,11,0,-0.09999999999999998,0.40449450351297855,1.0
bbob/32/10/1,32,30,0.44813212331870306,0.4677119556750054,15,15,0,-0.05777777777777782,0.7000329215079546,1.0
bbob/32/10/2,32,30,0.3766145866970556,0.4064706009535736,19,10,1,-0.13444444444444448,0.32518649095806207,1.0
bbob/32/11/0,32,30,0.004022963120817949,0.06493293277767302,23,3,4,-0.56,7.044332412989135e-05,0.00838275557145707
bbob/32/11/1,32,30,0.02157940803234034,0.11267721598821327,24,5,1,-0.5633333333333334,0.0003178954789673496,0.03401481624950641
bbob/32/11/2,32,30,0.07677407531188958,0.23256857635981365,20,8,2,-0.49111111111111116,0.0012226530433656197,0.11003877390290577
bbob/32/12/0,32,30,0.373425521721084,0.4264211794349907,16,14,0,-0.1577777777777778,0.42795460671186447,1.0
bbob/32/12/1,32,30,0.3937154439207147,0.41915368018224297,18,12,0,-0.06000000000000005,0.5978077705949545,1.0
bbob/32/12/2,32,30,0.29920879072284945,0.3912752995526301,20,10,0,-0.27555555555555555,0.009301122277975082,0.6138740703463554
bbob/32/13/0,32,30,0.39168251630191964,0.489833660625631,23,7,0,-0.33111111111111113,0.009301122277975082,0.6138740703463554
bbob/32/13/1,32,30,0.47904594191132,0.6470491950764987,23,7,0,-0.3844444444444445,0.0005054883658885956,0.051054324954748154
bbob/32/13/2,32,30,0.5086587294445756,0.5841508221310455,19,11,0,-0.16000000000000003,0.22855282202363014,1.0
bbob/32/14/0,32,30,0.39460603307195236,0.5089438036388246,19,11,0,-0.29555555555555557,0.04048972204327583,1.0
bbob/32/14/1,32,30,0.4567366434159193,0.5559420189468156,19,10,1,-0.26111111111111107,0.02009902604880586,1.0
bbob/32/14/2,32,30,0.3811531956197769,0.48391495055344663,18,12,0,-0.23777777777777775,0.15188691951334476,1.0
bbob/32/15/0,32,30,0.3240046538771277,0.5322239204931359,24,6,0,-0.5266666666666666,0.0004183966666460037,0.04393164999783039
bbob/32/15/1,32,30,0.476546494385213,0.6397119836140042,22,7,1,-0.3877777777777778,0.0013225305101141763,0.1177052154001617
bbob/32/15/2,32,30,0.34445069716111826,0.49394053774288627,19,9,2,-0.3977777777777778,0.008826199156108227,0.5913553434592512
bbob/32/16/0,16,30,0.46763021586840753,0.6643295564836483,25,5,0,-0.5622222222222222,0.0008718203753232956,0.08107929490506649
bbob/32/16/1,16,30,0.3980578140058396,0.5585408085295885,21,6,3,-0.4144444444444444,0.0005912980805305901,0.05735591381146724
bbob/32/16/2,16,30,0.5206700157019925,0.7135602280671233,22,6,2,-0.4955555555555555,0.00015679291057707078,0.017560805984631927
bbob/32/17/0,32,30,0.34271191760452885,0.47887913405786,21,8,1,-0.4144444444444444,0.00807680479016726,0.5492227257313737
bbob/32/17/1,32,30,0.3452698672969269,0.4893787051615817,21,9,0,-0.40888888888888886,0.001718590036034584,0.14779874309897423
bbob/32/17/2,32,30,0.456079757818564,0.5875854363944187,20,9,1,-0.3277777777777777,0.0020609461292282042,0.17105852872594096
bbob/32/18/0,32,30,0.5818360505171736,0.666014064887304,18,12,0,-0.28888888888888886,0.047259049490094185,1.0
bbob/32/18/1,32,30,0.45892786034869276,0.5944145683015963,20,10,0,-0.3466666666666667,0.01453801617026329,0.8722809702157974
bbob/32/18/2,32,30,0.35402883949517727,0.4517517906392779,22,8,0,-0.3488888888888889,0.03272089920938015,1.0
bbob/32/19/0,32,30,0.4711807355505577,0.6347647969727636,24,6,0,-0.40222222222222226,0.0007978975772857666,0.07500237226486206
bbob/32/19/1,32,30,0.3782512092875655,0.6076484845572648,23,5,2,-0.4933333333333333,0.00011890609974290849,0.013674201470434477
bbob/32/19/2,32,30,0.22154493474323175,0.4044246586864283,24,4,2,-0.5222222222222221,0.0001304544250680275,0.014871804457755135
bbob/32/2/0,32,30,0.277126296808718,0.33222147134956054,19,11,0,-0.23555555555555552,0.19092952087521553,1.0
bbob/32/2/1,32,30,0.3404484098390211,0.3818614415959049,18,12,0,-0.1644444444444444,0.39305018074810505,1.0
bbob/32/2/2,32,30,0.25386964373936044,0.3815172017576026,20,9,1,-0.33444444444444443,0.014118533720624406,0.8612305569580888
bbob/32/20/0,32,30,0.3026920843630494,0.45847497750550326,25,5,0,-0.4355555555555556,0.0005054883658885956,0.051054324954748154
bbob/32/20/1,32,30,0.37833660093388843,0.545785633967398,22,7,1,-0.3966666666666666,0.001053202619987542,0.09689464103885387
bbob/32/20/2,32,30,0.39899037505041673,0.5156331774047324,24,6,0,-0.33111111111111113,0.009301122277975082,0.6138740703463554
bbob/32/21/0,32,30,0.6106378787318327,0.5698368105651916,12,17,1,0.07888888888888879,0.4427108127662316,1.0
bbob/32/21/1,32,30,0.7006346808313719,0.7501046081248319,19,10,1,-0.09444444444444444,0.22181698571454478,1.0
bbob/32/21/2,32,30,0.6295298864480865,0.6229799528031675,16,14,0,-0.06444444444444442,0.935398668050766,1.0
bbob/32/22/0,32,30,0.7369451920006846,0.5944461004034608,11,19,0,0.308888888888889,0.015460003167390823,0.9121401868760586
bbob/32/22/1,32,30,0.7374260772245019,0.677475840364828,15,15,0,0.1711111111111112,0.39305018074810505,1.0
bbob/32/22/2,32,30,0.7431680677382543,0.7047525273410702,16,14,0,0.0822222222222222,0.583757072687149,1.0
bbob/32/23/0,32,30,0.4787658070751165,0.48330544161411,8,11,11,0.050000000000000044,0.9358520318812181,1.0
bbob/32/23/1,32,30,0.5272229165649147,0.5219638423116766,12,9,9,-0.030000000000000027,0.5900638024577389,1.0
bbob/32/23/2,32,30,0.43495435743556665,0.5311741315888818,19,7,4,-0.29555555555555557,0.040900509340804046,1.0
bbob/32/24/0,32,30,0.5696930416356759,0.6303099488835697,22,6,2,-0.13777777777777778,0.038246837297851846,1.0
bbob/32/24/1,32,30,0.3886698253996691,0.5846991403032871,21,7,2,-0.42666666666666664,0.002111088108921247,0.17310922493154227
bbob/32/24/2,32,30,0.42911656093034384,0.49835984913698306,18,12,0,-0.11555555555555552,0.15794767439365387,1.0
bbob/32/3/0,32,30,0.35758831249737494,0.53481941915585,23,6,1,-0.45666666666666667,0.000714299422212305,0.06785844511016897
bbob/32/3/1,32,30,0.5137073371867992,0.4774710725875281,12,18,0,0.0755555555555556,0.308520769700408,1.0
bbob/32/3/2,32,30,0.3724469751209838,0.5031406936978483,19,11,0,-0.26888888888888884,0.016431212425231934,0.9530103206634521
bbob/32/4/0,32,30,0.5640216187642296,0.5929946023045536,14,15,1,-0.03888888888888886,0.6113514993496755,1.0
bbob/32/4/1,32,30,0.3762225402370208,0.40609323997195185,15,14,1,-0.043333333333333335,0.6575663850187541,1.0
bbob/32/4/2,32,30,0.4669640988651829,0.4424835143461325,14,15,1,0.05666666666666664,0.7703529786474997,1.0
bbob/32/5/0,32,30,0.4709463923135756,0.5517315061556928,18,12,0,-0.2155555555555555,0.140283040702343,1.0
bbob/32/5/1,32,30,0.559057173148147,0.6466875479514325,19,11,0,-0.3177777777777778,0.0803273618221283,1.0
bbob/32/5/2,32,30,0.5286278808027027,0.4430438646332282,10,20,0,0.22666666666666657,0.054921628907322884,1.0
bbob/32/6/0,32,30,0.27027885708403976,0.41952744956890053,21,9,0,-0.32666666666666666,0.00466480478644371,0.3498603589832783
bbob/32/6/1,32,30,0.4959736614232275,0.5588453406724369,19,11,0,-0.14222222222222225,0.25343610532581806,1.0
bbob/32/6/2,32,30,0.3110837770335258,0.4242464814025618,21,9,0,-0.37111111111111106,0.007111456245183945,0.49780193716287613
bbob/32/7/0,32,30,0.42590165960501714,0.5130173639012284,20,10,0,-0.22444444444444445,0.054921628907322884,1.0
bbob/32/7/1,32,30,0.39934303094106177,0.5580573900970535,23,7,0,-0.43333333333333335,0.00011058151721954346,0.012938037514686584
bbob/32/7/2,32,30,0.45441850151945523,0.5734342033287313,22,8,0,-0.37111111111111106,0.016431212425231934,0.9530103206634521
bbob/32/8/0,32,30,0.43439419464892176,0.5980827051783109,21,8,1,-0.4255555555555556,0.0015359768966223925,0.13516596690277055
bbob/32/8/1,32,30,0.467668179710257,0.6570387744512836,24,5,1,-0.44777777777777783,0.0002472104677189815,0.02694594098136898
bbob/32/8/2,32,30,0.3849568204381947,0.5160582946988638,19,10,1,-0.3633333333333333,0.02977040515042219,1.0
bbob/32/9/0,32,30,0.4344593354874057,0.6414673922849582,25,4,1,-0.5455555555555556,2.1476619002203304e-05,0.002749007232282023
bbob/32/9/1,32,30,0.36687556163300367,0.5674442258603963,27,3,0,-0.4688888888888889,2.348795533180237e-06,0.0003194361925125122
bbob/32/9/2,32,30,0.39434952849798904,0.5491227497947521,23,7,0,-0.42000000000000004,0.0004183966666460037,0.04393164999783039
