task,dimension,n_seeds,norm_regret_proposed,norm_regret_baseline,wins,losses,ties,cliffs_delta,raw_p_value,adj_p_value
bbob/32/4/1,32,30,0.34655759424697874,0.4278814174265574,19,11,0,-0.19111111111111112,0.10943205840885639,1.0
bbob/32/4/2,32,30,0.35024583809641463,0.5197608911277117,21,8,1,-0.3944444444444445,0.00976695703879183,0.3125426252413386
bbob/32/5/0,32,30,0.35388723024784874,0.7130699626664859,30,0,0,-0.9511111111111111,1.862645149230957e-09,2.682209014892578e-07
bbob/32/5/1,32,30,0.31474215779738035,0.7724959158748254,30,0,0,-0.9377777777777778,1.862645149230957e-09,2.682209014892578e-07
bbob/32/5/2,32,30,0.2744272367553151,0.7095183425282907,30,0,0,-0.9711111111111111,1.862645149230957e-09,2.682209014892578e-07
bbob/32/6/0,32,30,0.31806186597732566,0.6224169740473905,29,1,0,-0.7466666666666666,9.313225746154785e-09,1.2665987014770508e-06
bbob/32/6/1,32,30,0.31194391783082687,0.5948389692117344,27,3,0,-0.7822222222222223,6.910413503646851e-07,8.223392069339752e-05
bbob/32/6/2,32,30,0.2552123575079669,0.5277056287448036,26,4,0,-0.6555555555555556,2.0798295736312866e-05,0.001851048320531845
bbob/32/7/0,32,30,0.49089006736978474,0.6674227833581601,24,6,0,-0.4355555555555556,0.00023163668811321259,0.013666564598679543
bbob/32/7/1,32,30,0.2754310293869615,0.5309889271536073,27,3,0,-0.64,3.2391399145126343e-06,0.00034658797085285187
bbob/32/7/2,32,30,0.3395874076315383,0.6696162302147038,26,3,1,-0.7677777777777778,1.4546102398789703e-05,0.001323695318289863
bbob/32/8/0,32,30,0.2242988968976311,0.5412341514716758,29,1,0,-0.8222222222222222,3.855675458908081e-07,4.7810375690460205e-05
bbob/32/8/1,32,30,0.28898240669950964,0.514038217202224,27,3,0,-0.7177777777777778,6.910413503646851e-07,8.223392069339752e-05
bbob/32/8/2,32,30,0.24914533605809122,0.5366832784549379,27,3,0,-0.7844444444444445,4.7124922275543213e-07,5.749240517616272e-05
bbob/32/9/0,32,30,0.4689856780647195,0.6341746361468334,24,6,0,-0.48,9.90256667137146e-05,0.007030822336673737
bbob/32/9/1,32,30,0.42807827952066796,0.5907970412720931,24,6,0,-0.4755555555555555,3.904104232788086e-05,0.0032404065132141113
bbob/32/9/2,32,30,0.41178356779493785,0.5476598363978579,22,8,0,-0.3222222222222222,0.0029870010912418365,0.11948004364967346
