task,optimizer,optimizer_name,seed,n_trials,final_incumbent_regret,best_y_true,mean_eval_time
rosenbrock_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,7,50,36.081894758078455,36.081894758078455,0.0005430364608764648
rosenbrock_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,8,50,0.10957194958447225,0.10957194958447225,0.0005343008041381836
rosenbrock_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,9,50,0.15941476055793152,0.15941476055793152,0.0005306720733642579
rosenbrock_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,10,50,0.5576881405890783,0.5576881405890783,0.0005639028549194336
rosenbrock_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,11,50,118.56366244178103,118.56366244178103,0.000545339584350586
rosenbrock_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,12,50,1.2787552985472717,1.2787552985472717,0.000576019287109375
rosenbrock_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,13,50,0.78105769791934,0.78105769791934,0.000567326545715332
rosenbrock_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,14,50,4.067494877539697,4.067494877539697,0.0005358600616455078
rosenbrock_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,15,50,11.69608341590738,11.69608341590738,0.0005310678482055664
rosenbrock_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,16,50,0.11156152925991641,0.11156152925991641,0.0005360221862792968
rosenbrock_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,17,50,1.4921687670235497,1.4921687670235497,0.0005425262451171875
rosenbrock_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,18,50,4.429433279781494,4.429433279781494,0.0005375576019287109
rosenbrock_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,19,50,0.9983303929934948,0.9983303929934948,0.0005233192443847656
rosenbrock_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,20,50,8.135242764258525,8.135242764258525,0.0006663322448730469
rosenbrock_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,21,50,0.7735067677519489,0.7735067677519489,0.0005424451828002929
rosenbrock_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,22,50,4.8497219030715,4.8497219030715,0.0005354261398315429
rosenbrock_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,23,50,0.38482940481645816,0.38482940481645816,0.0005218887329101563
rosenbrock_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,24,50,0.23094610551393593,0.23094610551393593,0.0005948352813720703
rosenbrock_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,25,50,10.99958605354366,10.99958605354366,0.0005018854141235351
rosenbrock_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,26,50,16.027611937399232,16.027611937399232,0.0005056524276733399
rosenbrock_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,27,50,5.963318263093641,5.963318263093641,0.0005610942840576172
rosenbrock_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,28,50,0.2874204958974156,0.2874204958974156,0.000556492805480957
rosenbrock_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,29,50,0.918322638638687,0.918322638638687,0.0005315876007080078
rosenbrock_2d,da_ehrf_direct_ei,DA-EHRF Direct EI,30,50,0.629644421063249,0.629644421063249,0.00046204566955566407
sphere_2d,baseline,SMAC3 Baseline (EI),1,50,0.2292024882729154,0.2292024882729154,0.0003773355484008789
sphere_2d,baseline,SMAC3 Baseline (EI),2,50,0.07175569464374938,0.07175569464374938,0.0003423357009887695
sphere_2d,baseline,SMAC3 Baseline (EI),3,50,4.440066532002576,4.440066532002576,0.0003610038757324219
sphere_2d,baseline,SMAC3 Baseline (EI),4,50,0.0024616722967191235,0.0024616722967191235,0.00037201881408691404
sphere_2d,baseline,SMAC3 Baseline (EI),5,50,0.01611399750914905,0.01611399750914905,0.00034753799438476564
sphere_2d,baseline,SMAC3 Baseline (EI),6,50,0.0032437057586159244,0.0032437057586159244,0.0003366947174072266
sphere_2d,baseline,SMAC3 Baseline (EI),7,50,0.1654831078667053,0.1654831078667053,0.0003434419631958008
sphere_2d,baseline,SMAC3 Baseline (EI),8,50,0.018902389584413724,0.018902389584413724,0.0003482437133789063
sphere_2d,baseline,SMAC3 Baseline (EI),9,50,0.10874690084076423,0.10874690084076423,0.00033625602722167966
sphere_2d,baseline,SMAC3 Baseline (EI),10,50,0.03692338317315125,0.03692338317315125,0.00035319805145263674
sphere_2d,baseline,SMAC3 Baseline (EI),11,50,0.023492034670492972,0.023492034670492972,0.00031674861907958984
sphere_2d,baseline,SMAC3 Baseline (EI),12,50,0.005247695493137058,0.005247695493137058,0.00037342071533203125
sphere_2d,baseline,SMAC3 Baseline (EI),13,50,2.3600238164847966,2.3600238164847966,0.0003213596343994141
sphere_2d,baseline,SMAC3 Baseline (EI),14,50,0.10682652614610129,0.10682652614610129,0.0003543519973754883
sphere_2d,baseline,SMAC3 Baseline (EI),15,50,0.11703976388388533,0.11703976388388533,0.00037493228912353514
sphere_2d,baseline,SMAC3 Baseline (EI),16,50,0.10960280373288826,0.10960280373288826,0.0003552103042602539
sphere_2d,baseline,SMAC3 Baseline (EI),17,50,0.13634429530798625,0.13634429530798625,0.00034927845001220704
sphere_2d,baseline,SMAC3 Baseline (EI),18,50,0.2751970756967807,0.2751970756967807,0.00035907745361328123
