task,optimizer,optimizer_name,seed,trial,cost,y_true,sigma_true,instantaneous_regret,incumbent_regret,noise_residual,time,config
ackley_2d,baseline,SMAC3 Baseline (EI),2,32,7.584414072747961,7.642511161396518,0.3949935975812468,7.642511161396518,2.769053769214118,-0.05809708864855706,0.00046634674072265625,"[1.5029229258412, 1.5893412737241]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,33,4.233311601818196,4.403083768459059,0.24180129586122792,4.403083768459059,2.769053769214118,-0.16977216664086336,0.00043845176696777344,"[-0.8248043487636, 0.4380354085752]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,34,5.2963685312599695,6.204392496143495,0.32593897529369553,6.204392496143495,2.769053769214118,-0.9080239648835251,0.00043201446533203125,"[1.9232166950677, -0.7548709069147]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,35,4.494418450103094,4.35847005277223,0.23977208553599585,4.35847005277223,2.769053769214118,0.13594839733086378,0.0004341602325439453,"[-0.7548891655869, 0.4179207105364]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,36,12.253140330903404,12.10755033109877,0.6135812395683434,12.10755033109877,2.769053769214118,0.1455899998046356,0.0005638599395751953,"[-4.945478732704, -1.5584745586261]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,37,10.529253581910169,10.355997398674118,0.5273677135579716,10.355997398674118,2.769053769214118,0.17325618323605146,0.0006480216979980469,"[-2.7249292849096, 2.6272589941467]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,38,4.115915636123614,4.399461792412662,0.2416364214212069,4.399461792412662,2.769053769214118,-0.28354615628904783,0.00044655799865722656,"[0.8508322512022, 0.4362645785248]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,39,3.3256910159754467,3.1370719795721027,0.18601895471306437,3.1370719795721027,2.769053769214118,0.1886190364033441,0.0007290840148925781,"[0.8508322512022, 0.1341862422734]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,40,10.384562683323834,10.138060039208778,0.5166726752950118,10.138060039208778,2.769053769214118,0.24650264411505515,0.0006022453308105469,"[-2.6571746680942, 2.876579255007]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,41,2.8019096937653423,2.9306305259948826,0.17740205241127457,2.9306305259948826,2.769053769214118,-0.1287208322295403,0.0003681182861328125,"[-0.0845181453807, 0.4273205753801]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,42,3.7840573863022473,3.714322624760872,0.2109276686497678,3.714322624760872,2.769053769214118,0.06973476154137515,0.0007169246673583984,"[0.3388927846146, 0.4277762952322]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,43,2.7598650205419824,2.8549221557975426,0.17428841409904225,2.8549221557975426,2.769053769214118,-0.0950571352555602,0.0003750324249267578,"[-0.0295356001556, 0.4284572861579]"
ackley_2d,baseline,SMAC3 Baseline (EI),2,44,3.7168007368191702,3.7715232237997616,0.21345015476488272,3.7715232237997616,2.769053769214118,-0.05472248698059115,0.0007183551788330078,"[0.3505314132297, 0.436664680019]"
