dim,gap_type,approach,auroc,fpr95,aupr,spearman,aurc,oracle_aurc,jsd,mi,nlpd,brier
4,empty,standard_disagreement,0.628159365079365,0.6803809523809524,0.3619712541461192,0.3342537266537267,0.17705756452937554,0.10645464156096004,0.23264838910215743,0.21168049895823735,0.5252574997585588,0.23686236169563185
4,sparse,distance_evidential,0.32392396825396824,0.967047619047619,0.22111314930347073,0.30536275656275663,0.17084015375765954,0.10139030436909534,0.14287819061543908,0.12887792213517602,0.8593865251684817,0.3282230889229997
4,sparse,standard_disagreement,0.5354703174603175,0.7478571428571429,0.29180257814164556,0.3211812987812988,0.1680009083779114,0.10139030436909534,0.196533306297467,0.17527458670007123,0.4840560540090962,0.2590112416041585
5,empty,distance_evidential,0.6145022222222223,0.8068095238095238,0.40860473217027,0.2767736351736352,0.21421821231936286,0.11708407839816906,0.17318837966217607,0.16339284377933122,0.9446956442863057,0.32666517209374357
5,empty,standard_disagreement,0.30372365079365077,0.9347619047619048,0.2327102559664683,0.22748351834595318,0.2152354672841614,0.11708407839816906,0.3652623824465203,0.35321246462355593,0.6573006959359803,0.3007836060530922
5,sparse,distance_evidential,0.2156188888888889,0.9873333333333334,0.202713955142141,0.34526374326374326,0.18459679889870248,0.10456320177623898,0.318354083326633,0.30460997083681446,0.8976687284697221,0.3527231344486777
5,sparse,standard_disagreement,0.2820030158730159,0.9453333333333334,0.22623751543584766,0.34523272390408005,0.18198572703194255,0.10456320177623898,0.37931772965554,0.3696947367274093,0.6018360011063218,0.3057284599052903
6,empty,distance_evidential,0.5124442857142857,0.8539523809523809,0.3185711677028516,0.24789730709730712,0.22630247969222003,0.12088023916559892,0.15233285868823918,0.13926538203122335,0.949763264683194,0.32798663230704983
6,empty,standard_disagreement,0.25803873015873013,0.954047619047619,0.21632437496129742,0.1210572531862295,0.2382357944749973,0.12088023916559892,0.388306220819752,0.3774937332529068,0.725245841993969,0.3056514796898766
6,sparse,distance_evidential,0.12590015873015875,0.9974761904761904,0.18483325897465847,0.343382064982065,0.18236957482730273,0.09679326954964533,0.505998480266885,0.49192938500676314,0.9043343255903245,0.36764795264912176
6,sparse,standard_disagreement,0.2112063492063492,0.9716666666666666,0.20303192246803686,0.33223492863492865,0.18130650682081148,0.09679326954964533,0.42085269251584173,0.40932633033915095,0.6530267483491572,0.32284891676172567
